"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","S%","TG","TP1","TP","TP/GP","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Philip-Michael Devos","DY+2","23273/philip-michael-devos","F","2010","68","0.7206","0.2794","1.0441","25","24","15","49","8","11","6","19","2","1","1","0","0.00","0","0.00","162","21.60","35","71","93","1.3676","48.53","74","50","59.68","- 0.75","113","74","19.53","3.2071","1990-04-26","20.39","20.68","8","VIC","-","L","2008","-","-","-",""
"QMJHL","Maxime Sauve","DY+2","22598/maxime-sauve","F","2010","25","0.6800","0.2800","1.0400","9","8","3","17","3","4","6","7","1","1","0","0","0.00","0","0.00","79","16.46","13","26","35","1.4000","50.00","24","28","46.15","13.26","25","51","20.24","3.0828","1990-01-30","20.63","20.92","18","VDO","-","L","2008","BOS (2008) - #47","BOS","-",""
"NCAA","Sean Backman","DY+6","16301/sean-backman","F","2010","29","0.5862","0.4138","1.0345","11","6","1","17","9","3","4","12","1","0","0","0","0.00","0","0.00","0","0.00","21","30","35","1.2069","68.97","28","14","66.67","12.32","50","42","21.05","2.9485","1986-04-29","24.38","24.67","16","YAL","5'09","R","2004","-","-","-",""
"NCAA","Rhett Rakhshani","DY+4","19271/rhett-rakhshani","F","2010","41","0.6098","0.3659","1.0244","13","12","2","25","7","8","6","15","1","1","0","0","0.00","0","0.00","0","0.00","21","42","50","1.2195","50.00","38","24","61.29","9.64","47","44","21.34","2.8803","1988-03-06","22.53","22.82","9","DEN","5'10","R","2006","NYI (2006) - #100","NYI","-",""
"AHL","David Desharnais","DY+6","16928/david-desharnais","F","2010","60","0.5333","0.4500","1.0167","15","17","11","32","11","16","5","27","1","1","1","0","0.00","0","0.00","155","17.42","27","61","78","1.3000","44.07","60","31","65.93","8.00","84","61","19.63","3.1082","1986-09-14","24.00","24.30","51","HAM","5'07","L","2004","-","-","-",""
"OHL","Chris MacKinnon","DY+3","21747/chris-mackinnon","F","2010","64","0.5625","0.4375","1.0156","13","23","8","36","15","13","17","28","1","0","0","0","0.00","0","0.00","0","0.00","29","65","90","1.4063","43.75","61","49","55.45","4.46","103","99","17.87","3.4094","1989-07-07","21.19","21.48","27","KIT","-","L","2007","-","-","-",""
"WHL","Mitch Wahl","DY+2","22545/mitch-wahl","F","2010","72","0.6667","0.2917","1.0139","20","28","12","48","9","12","11","21","1","3","0","0","0.00","0","0.00","0","0.00","30","73","96","1.3333","42.03","74","50","59.68","5.43","83","70","17.28","3.5210","1990-01-22","20.65","20.94","14","SPO","-","R","2008","CGY (2008) - #48","CGY","-",""
"WHL","Craig Cunningham","DY+2","23995/craig-cunningham","F","2010","72","0.4861","0.4722","1.0139","22","13","10","35","13","21","14","34","2","2","0","0","0.00","0","0.00","0","0.00","37","73","97","1.3472","50.72","56","52","51.85","- 1.06","100","89","15.22","3.9968","1990-09-13","20.01","20.30","14","VAN","-","R","2008","BOS (2010) - #97","BOS","-",""
"NCAA","Scott Fleming","DY+4","18917/scott-fleming","F","2010","32","0.5938","0.3438","1.0000","11","8","5","19","10","1","2","11","1","1","0","0","0.00","0","0.00","0","0.00","22","32","39","1.2188","70.00","32","24","57.14","17.14","34","51","21.00","2.8570","1988-01-06","22.69","22.99","17","DAR","5'11","L","2006","-","-","-",""
"NCAA","Broc Little","DY+4","19385/broc-little","F","2010","34","0.7941","0.1765","1.0000","21","6","2","27","5","1","5","6","1","0","0","0","0.00","0","0.00","0","0.00","27","34","41","1.2059","78.79","38","20","65.52","14.54","52","50","19.42","3.0894","1988-03-24","22.48","22.77","14","YAL","5'09","L","2006","-","-","-",""
"WHL","Shane Harper","DY+3","20813/shane-harper","F","2010","72","0.8333","0.1667","1.0000","35","25","6","60","7","5","2","12","0","0","0","0","0.00","0","0.00","0","0.00","42","72","80","1.1111","58.33","73","34","68.22","6.32","91","56","15.87","3.7811","1989-02-01","21.62","21.92","11","EVT","-","R","2007","-","-","-",""
"NCAA","Riley Nash","DY+3","21431/riley-nash","F","2010","30","0.6333","0.3667","1.0000","9","10","1","19","3","8","4","11","0","0","0","0","0.00","0","0.00","0","0.00","12","30","35","1.1667","40.00","32","19","62.75","- 2.17","37","20","24.05","2.4951","1989-05-09","21.35","21.64","14","COR","6'02","R","2007","EDM (2007) - #21","EDM","TOR",""
"OHL","Zack Torquato","DY+3","21603/zack-torquato","F","2010","68","0.6765","0.2500","1.0000","22","24","19","46","7","10","6","17","2","3","0","0","0.00","0","0.00","0","0.00","31","68","93","1.3676","46.03","80","61","56.74","11.45","96","116","17.68","3.3928","1989-06-08","21.27","21.56","22","ER","-","R","2007","DET (2007) - #178","DET","-",""
"NCAA","Stephane Da Costa","DY+3","21759/stephane-da-costa","F","2010","34","0.6765","0.3235","1.0000","12","11","4","23","4","7","7","11","0","0","0","0","0.00","0","0.00","0","0.00","16","34","45","1.3235","47.06","32","16","66.67","22.09","37","46","20.63","2.9087","1989-07-11","21.18","21.47","24","MER","5'11","R","2007","-","-","-",""
"QMJHL","Pierre Alexandre Vandall","DY+2","22261/pierre-alexandre-vandall","F","2010","55","0.4909","0.5091","1.0000","18","9","9","27","13","15","11","28","0","0","0","0","0.00","0","0.00","183","16.94","31","55","75","1.3636","56.36","49","32","60.49","12.29","67","72","20.50","2.9274","1989-11-16","20.83","21.13","89","SHA","-","L","2008","-","-","-",""
"WHL","Brandon McMillan","DY+2","22995/brandon-mcmillan","F","2010","55","0.5455","0.3818","1.0000","15","15","5","30","7","14","7","21","3","1","0","0","0.00","0","0.00","0","0.00","25","55","67","1.2182","43.14","42","32","56.76","11.57","61","74","15.08","3.9786","1990-03-22","20.48","20.78","15","KEL","-","L","2008","ANA (2008) - #85","ANA","-",""
"QMJHL","Tomas Kubalik","DY+2","23298/tomas-kubalik","F","2010","58","0.5172","0.4483","1.0000","20","10","8","30","12","14","9","26","1","1","0","0","0.00","0","0.00","180","18.33","33","58","75","1.2931","57.14","57","37","60.64","0.19","107","70","19.16","3.1312","1990-05-01","20.37","20.67","18","VIC","-","R","2008","CBJ (2008) - #135","CBJ","-",""
"OHL","Cody Lindsay","DY+2","23487/cody-lindsay","F","2010","68","0.7941","0.1765","1.0000","34","20","7","54","3","9","7","12","2","0","0","0","0.00","0","0.00","0","0.00","39","68","82","1.2059","56.06","80","48","62.50","11.52","104","100","18.87","3.1795","1990-05-29","20.29","20.59","34","OTT","-","L","2008","-","-","-",""
"OHL","Greg Nemisz","DY+2","23541/greg-nemisz","F","2010","51","0.6667","0.3333","1.0000","21","13","7","34","13","4","12","17","0","0","0","0","0.00","0","0.00","0","0.00","34","51","70","1.3725","66.67","57","36","61.29","0.62","108","70","16.11","3.7246","1990-06-05","20.28","20.57","64","WSR","-","R","2008","CGY (2008) - #25","CGY","-",""
"OHL","Greg McKegg","DY","27527/greg-mckegg","F","2010","67","0.5821","0.3433","1.0000","19","20","12","39","16","7","6","23","2","3","0","0","0.00","0","0.00","0","0.00","37","67","85","1.2687","56.45","71","56","55.91","10.20","101","120","16.74","3.5845","1992-06-17","18.24","18.54","14","ER","-","L","2010","TOR (2010) - #62","TOR","BOS",""
"WHL","Kyle Beach","DY+2","22480/kyle-beach","F","2010","68","0.6176","0.3235","0.9853","34","8","11","42","16","6","8","22","2","1","0","0","0.00","0","0.00","0","0.00","52","67","86","1.2647","78.13","64","41","60.95","6.47","85","71","16.13","3.6650","1990-01-13","20.67","20.97","21","SPO","-","R","2008","CHI (2008) - #11","CHI","-",""
"OHL","Alex Hutchings","DY+1","24191/alex-hutchings","F","2010","68","0.5882","0.2059","0.9853","28","12","8","40","8","6","6","14","11","2","0","0","0.00","0","0.00","0","0.00","47","67","81","1.1912","66.67","62","30","67.39","2.82","144","79","17.25","3.4278","1990-11-07","19.86","20.15","10","BAR","-","R","2009","TBL (2009) - #93","TBL","-",""
"NCAA","Justin Fontaine","DY+4","18718/justin-fontaine","F","2010","39","0.4359","0.5128","0.9744","8","9","3","17","13","7","4","20","0","1","1","0","0.00","0","0.00","0","0.00","21","38","46","1.1795","56.76","28","23","54.90","7.34","39","43","20.44","2.8603","1987-11-06","22.86","23.15","37","MND","5'10","R","2006","-","-","-",""
"AHL","Pierre-Alexandre Parenteau","DY+9","11132/pierre-alexandre-parenteau","F","2010","35","0.5429","0.4000","0.9714","11","8","8","19","8","6","3","14","1","0","0","0","0.00","0","0.00","133","15.04","20","34","45","1.2857","57.58","30","14","68.18","21.19","39","44","19.35","3.0115","1983-03-24","27.48","27.77","17","HFD","6'00","R","2001","ANA (2001) - #264","ANA","-",""
"OHL","Jordan Skellett","DY+2","22286/jordan-skellett","F","2010","66","0.6515","0.3030","0.9697","18","25","15","43","8","12","9","20","0","1","0","0","0.00","0","0.00","0","0.00","26","64","88","1.3333","41.27","69","60","53.49","- 0.45","89","76","17.46","3.3329","1989-11-22","20.81","21.11","23","SAG","-","L","2008","-","-","-",""
"WHL","Scott Glennie","DY+1","24739/scott-glennie","F","2010","66","0.6818","0.2273","0.9697","22","23","19","45","8","7","6","15","2","2","0","0","0.00","0","0.00","0","0.00","32","64","89","1.3485","50.00","78","43","64.46","1.96","130","78","15.53","3.7462","1991-02-22","19.56","19.86","15","BDN","-","R","2009","DAL (2009) - #8","DAL","-",""
"OHL","Tyler Toffoli","DY","27142/tyler-toffoli","F","2010","65","0.7077","0.2615","0.9692","27","19","11","46","10","7","5","17","0","0","0","0","0.00","0","0.00","0","0.00","37","63","79","1.2154","58.73","75","48","60.98","6.81","104","88","18.36","3.1674","1992-04-24","18.39","18.69","16","OTT","-","R","2010","LAK (2010) - #47","LAK","MTL",""
"OHL","Dale Mitchell","DY+3","21258/dale-mitchell","F","2010","32","0.6563","0.3125","0.9688","12","9","7","21","4","6","5","10","0","0","0","0","0.00","0","0.00","0","0.00","16","31","43","1.3438","51.61","46","24","65.71","12.32","55","48","17.59","3.3049","1989-04-09","21.43","21.73","71","WSR","-","R","2007","TOR (2007) - #74","TOR","-",""
"OHL","Peter Holland","DY+1","24442/peter-holland","F","2010","59","0.6102","0.3051","0.9661","19","17","9","36","9","9","14","18","2","1","0","0","0.00","0","0.00","0","0.00","30","57","80","1.3559","51.85","64","68","48.48","- 5.88","81","68","19.95","2.9059","1991-01-14","19.67","19.96","13","GUE","-","L","2009","ANA (2009) - #15","ANA","-",""
"OHL","Michael Latta","DY+1","25374/michael-latta","F","2010","58","0.6207","0.3103","0.9655","23","13","12","36","8","10","5","18","2","0","0","0","0.00","0","0.00","0","0.00","33","56","73","1.2586","57.41","64","45","58.72","9.70","75","78","18.05","3.2090","1991-05-25","19.31","19.60","17","GUE","-","R","2009","NSH (2009) - #72","NSH","-",""
"QMJHL","Mikhail Stefanovich","DY+2","22304/mikhail-stefanovich","F","2010","53","0.6226","0.3396","0.9623","17","16","9","33","8","10","8","18","0","0","0","0","0.00","0","0.00","174","14.37","25","51","68","1.2830","49.02","52","40","56.52","2.93","97","84","18.39","3.1400","1989-11-27","20.80","21.09","16","QUE","-","R","2008","TOR (2008) - #98","TOR","-",""
"AHL","Chris Bourque","DY+6","15742/chris-bourque","F","2010","49","0.5714","0.3878","0.9592","13","15","8","28","9","10","15","19","0","0","0","0","0.00","0","0.00","170","12.94","22","47","70","1.4286","46.81","48","23","67.61","1.14","113","57","19.73","2.9168","1986-01-29","24.63","24.92","17","HER","5'08","L","2004","WSH (2004) - #33","WSH","-",""
"QMJHL","Joel Champagne","DY+2","22565/joel-champagne","F","2010","65","0.6154","0.3231","0.9538","22","18","8","40","15","6","9","21","1","0","0","0","0.00","0","0.00","212","17.92","38","62","79","1.2154","60.66","61","48","55.96","- 1.11","117","88","19.15","2.9885","1990-01-24","20.64","20.94","24","PEI/VIC","-","L","2008","TOR (2008) - #129","TOR","-",""
"QMJHL","Jordan Caron","DY+1","24177/jordan-caron","F","2010","43","0.6977","0.2558","0.9535","20","10","9","30","6","5","3","11","0","0","0","0","0.00","0","0.00","162","16.05","26","41","53","1.2326","63.41","48","22","68.57","17.27","59","56","19.52","2.9301","1990-11-02","19.87","20.16","27","RIM/ROU","-","L","2009","BOS (2009) - #25","BOS","-",""
"WHL","Tyler Johnson","DY+2","23812/tyler-johnson","F","2010","64","0.5156","0.3906","0.9531","22","11","5","33","11","14","5","25","3","0","0","0","0.00","0","0.00","0","0.00","36","61","71","1.1094","56.90","45","30","60.00","1.72","95","68","14.64","3.9072","1990-07-29","20.13","20.42","9","SPO","-","R","2008","-","-","TBL",""
"NCAA","Mark Olver","DY+4","18870/mark-olver","F","2010","40","0.6250","0.2750","0.9500","11","14","8","25","6","5","3","11","2","0","0","0","0.00","0","0.00","0","0.00","19","38","49","1.2250","47.22","37","21","63.79","9.14","47","39","21.33","2.6722","1988-01-01","22.71","23.00","21","NMU","5'10","L","2006","COL (2008) - #140","COL","-",""
"NCAA","Jack Connolly","DY+3","21930/jack-connolly","F","2010","40","0.4250","0.4750","0.9500","10","7","4","17","7","12","7","19","1","1","0","0","0.00","0","0.00","0","0.00","18","38","49","1.2250","47.22","32","20","61.54","18.86","35","47","21.06","2.7064","1989-08-15","21.08","21.38","12","MND","5'08","L","2007","-","-","-",""
"QMJHL","Jacob Lagace","DY+2","22455/jacob-lagace","F","2010","60","0.6333","0.2500","0.9500","23","15","9","38","9","6","7","15","3","1","0","0","0.00","0","0.00","192","18.23","35","57","73","1.2167","60.38","61","52","53.98","3.98","79","79","21.00","2.7141","1990-01-09","20.68","20.98","10","CAP/CHI","-","R","2008","BUF (2008) - #134","BUF","-",""
"NCAA","Nick Johnson (86)","DY+6","16858/nick-johnson","F","2010","38","0.6053","0.3421","0.9474","18","5","11","23","9","4","5","13","0","0","0","0","0.00","0","0.00","0","0.00","27","36","52","1.3684","75.00","41","25","62.12","9.29","56","50","19.71","2.8845","1986-08-25","24.06","24.35","15","SAC","5'11","L","2004","-","-","-",""
